customer_id,customer_review_id,location_id,review_datetime,review_text,social_media_source,social_media_handle,productId,rating,sentimental_category,improvement_points
1042,42,5002,2025-05-03 07:42:49.000000 UTC,"Okay, I was skeptical about a ""Google Glass Bottle"" at first, thinking it was some gimmicky thing. But honestly, I'm really impressed! The glass is super sturdy and feels great in my hand. I love that it doesn't leach any weird flavors into my water, unlike some plastic bottles I've used. Plus, it's surprisingly easy to clean. I've been using it every day for a week now, and it's quickly become my go-to water bottle. Definitely worth the purchase!
",Instagram,@InstagramUser_1042_570,25886,3,Positive,"""개선방안1. 고객이 제품명이나 마케팅 문구에서 '기믹(gimmicky)'하다고 오해할 수 있는 요소를 제거하고, 제품의 핵심 가치(예: 견고한 유리, 순수한 맛 유지)를 명확히 전달하는 방향으로 브랜딩 및 제품 설명을 개선합니다. (예: \""Google Glass Bottle\""과 같이 기술적인 느낌을 주어 오해를 살 수 있는 이름 대신, 제품의 본질을 나타내는 직관적인 이름 사용)\n고객이 좋아할 법한 특성1. 플라스틱 병과 달리 물에 이물질이나 불쾌한 맛이 배어 나오지 않아 항상 순수하고 깨끗한 물맛을 유지해준다는 점."""
1139,139,5005,2025-05-03 15:24:43.000000 UTC,"I absolutely love this softshell jacket! The ""Moss"" color is gorgeous and surprisingly versatile – it goes with everything. It's incredibly comfortable and lightweight, perfect for those slightly chilly days when you don't need a heavy coat. I appreciate the quality material and the fit is just right. It's also surprisingly water-resistant, which is a huge plus. Definitely recommend this jacket if you're looking for something stylish and practical!
",Instagram,@InstagramUser_1139_945,21241,3,Positive,"""개선방안1. 바람 저항 기능에 대한 언급이 없으므로, 방풍 기능을 강화하거나 해당 기능을 제품 설명에 명확히 추가하여 고객이 다양한 날씨 조건(특히 바람이 부는 쌀쌀한 날)에서 더욱 만족감을 느낄 수 있도록 합니다.\n고객이 좋아할 법한 특성1. 고급스러운 'Moss' 색상이 다양한 의상과 잘 어울려 스타일리시하면서도 실용적인 활용이 가능하다는 점."""
1008,8,5005,2025-03-17 20:32:07.000000 UTC,"I absolutely love my Google Color Block notebook! The paper is such a nice quality – really smooth to write on with no bleed-through from my pens. The color-blocked cover is super stylish and makes it easy to find in my bag. It's the perfect size for taking notes in meetings or just jotting down ideas on the go. Definitely my new favorite notebook!
",Blog,@BlogUser_1008_455,35921,3,Positive,"""개선방안1. 내부 포켓 추가 (회의나 이동 중에 메모할 때 영수증, 명함 등 작은 종이류를 보관할 수 있도록)\n고객이 좋아할 법한 특성1. 필기감이 부드럽고 펜 비침이 없는 고품질 용지"""
1143,143,5009,2024-11-11 06:15:51.000000 UTC,"I absolutely love the Google Light Pen in Green! I was a little skeptical at first, but it's become my go-to for annotating documents and taking quick notes on my tablet. The green color is so vibrant and easy to see, even on bright screens. The responsiveness is fantastic, and it feels really comfortable to hold. Plus, the battery life is surprisingly long. Highly recommend if you're looking for a reliable and stylish stylus!
",Naver Cafe,@NaverCafeUser_1143_699,41129,3,Positive,"""개선방안1. (해당 리뷰는 전반적으로 긍정적인 내용이므로, 잠재적인 불만족 요소를 가정하여 개선 방안을 제시합니다.) 제품 상세 페이지 및 포장재에 Google Light Pen이 지원하는 태블릿 모델 목록을 명확하게 기재하여 고객이 구매 전 자신의 기기와의 호환성을 쉽게 확인할 수 있도록 개선합니다.\n고객이 좋아할 법한 특성1. 오래 지속되는 배터리 수명"""
1189,189,5003,2025-02-27 03:16:41.000000 UTC,"Okay, I absolutely love this Google LA Campus Zip Hoodie! It's so comfortable and the material is really soft - perfect for those slightly chilly evenings. I wear it all the time, whether I'm working from home or running errands. The design is subtle but cool, and I've already gotten a few compliments on it. Definitely worth the purchase if you're looking for a cozy and stylish hoodie that's a little different. Great quality overall!
",Instagram,@InstagramUser_1189_736,24475,4,Positive,"""개선방안1. 고객이 자주 착용하는 만큼, 세탁 후에도 보풀이 잘 생기지 않도록 고급 안티 필링(anti-pilling) 가공을 적용하여 제품의 수명과 외관 유지력을 높입니다.\n고객이 좋아할 법한 특성1. 매우 부드럽고 편안한 착용감과 뛰어난 보온성 (Soft and comfortable fit with excellent warmth)"""
1004,4,5004,2025-03-02 11:56:54.000000 UTC,"This Google microfleece jacket is exactly what I was hoping for! It's super soft and comfortable, perfect for chilly mornings or evenings. The black color is classic and goes with everything. I also appreciate the subtle Google branding - it's not too flashy. The fit is great, true to size, and the pockets are a decent size. Definitely a good purchase and I wear it all the time!
",Facebook,@FacebookUser_1004_320,49510,4,Positive,"""개선방안1. 방풍 및 생활 방수 기능 추가 (고객이 \""chilly mornings or evenings\""에 적합하다고 했지만, 더 다양한 날씨 조건에서도 활용도를 높일 수 있도록 방풍 및 생활 방수 기능을 추가하여 '항상 착용'하는 만족도를 더욱 높일 수 있습니다.)\n고객이 좋아할 법한 특성1. 뛰어난 부드러움과 편안한 착용감 (리뷰에서 \""super soft and comfortable\""을 가장 먼저 언급하며 극찬했고, \""perfect for chilly mornings or evenings\""라고 한 점을 미루어 볼 때, 이 제품의 핵심적인 매력은 부드러운 촉감과 편안함에 있습니다.)"""
1037,37,5004,2025-01-03 07:44:27.000000 UTC,"It's already been a month since I bought and started using the Google mug. I liked the clean design, so I'm using it for work. It definitely gives a stylish feel when placed on my desk, and the capacity is ample, making it perfect for drinking coffee or tea. I especially like that the Google logo is simply embedded. However, there are also some downsides. It seems that slight scratches easily form on the mug surface, so I'm using it carefully. Also, I think the price is a bit expensive. The design and practicality are satisfactory, but I think it's necessary to consider the price aspect a bit more. Overall, it's satisfactory, but if durability and price aspects are improved, I think it will become a Google mug that more people can use with satisfaction.",Instagram,@InstagramUser_1037_283,27276,4,,"""개선방안1.\n머그 표면의 스크래치 문제를 해결하기 위해, 고강도 스크래치 방지 코팅을 적용하여 내구성을 강화합니다. 이를 통해 고객은 더욱 안심하고 제품을 사용할 수 있으며, 제품의 수명도 연장될 것입니다.\n\n고객이 좋아할 법한 특성1.\n미니멀하고 세련된 디자인과 구글 로고의 조화로, 사무실이나 개인 작업 공간에서 전문적이고 깔끔한 분위기를 연출하는 데 기여합니다. 이는 단순한 머그를 넘어 사용자의 취향과 브랜드를 은은하게 드러내는 아이템으로 인식될 수 있습니다."""
1039,39,5005,2024-11-02 05:52:26.000000 UTC,"I absolutely love my Google Yellow YoYo! It's such a fun little thing to have around. The bright yellow color is cheerful, and the weight is perfect for learning new tricks. I'm a total beginner, but I've already managed to get the hang of a few basic moves thanks to how smooth it spins. It feels really well-made and durable, too. Definitely worth the price for a bit of nostalgic fun and a great way to keep my hands busy!
",Blog,@BlogUser_1039_720,29763,4,Positive,"""개선방안1. 요요 본체에 초보자를 위한 기본 기술 튜토리얼 영상으로 연결되는 QR 코드를 인쇄하거나, 요요와 함께 제공되는 간단한 설명서에 해당 QR 코드를 포함하여 고객이 더욱 쉽게 기술을 익히고 요요에 흥미를 붙일 수 있도록 지원합니다.\n고객이 좋아할 법한 특성1. 초보자도 쉽게 기술을 배울 수 있도록 최적화된 무게와 부드러운 스핀감."""
1196,196,5010,2024-12-04 09:08:54.000000 UTC,"This rain shell is exactly what I was looking for! It's super lightweight and packs down small, making it perfect for throwing in my backpack when I'm hiking or traveling. The fit is flattering, and I appreciate the adjustable hood and cuffs for extra protection against the elements. I've worn it in light rain and even a bit of a downpour, and it kept me dry and comfortable. Definitely a great value for the price!
",Twitter,@TwitterUser_1196_754,24842,4,Positive,"""개선방안1. 현재 가벼운 비와 소나기에도 효과적이지만, 폭우나 장시간 비에도 완벽하게 건조함을 유지할 수 있도록 더욱 강력한 방수/투습 멤브레인(예: Gore-Tex Pro, Pertex Shield Pro 등)을 적용하여 극한의 날씨 조건에서도 성능을 보장하도록 개선합니다.\n고객이 좋아할 법한 특성1. 초경량이며 작게 접혀 배낭에 쉽게 넣어 다닐 수 있는 뛰어난 휴대성"""
1027,27,5001,2025-04-05 05:18:27.000000 UTC,"I absolutely love my Google Tee Blue! The color is a really nice, vibrant blue that hasn't faded after a few washes. The material is super soft and comfortable, perfect for everyday wear. I ordered a size medium and it fits true to size. I've gotten a lot of compliments on it already, and it's a fun, subtle way to show my appreciation for Google products without being too flashy. Definitely recommend!
",Facebook,@FacebookUser_1027_441,43696,5,Positive,"""개선방안1. 현재의 편안한 착용감과 소재는 유지하되, V넥, 긴팔, 여성용 핏 등 다양한 스타일과 핏 옵션을 추가하여 고객의 선택 폭을 넓힙니다.\n고객이 좋아할 법한 특성1. 매우 부드럽고 편안한 소재감"""
